autopilot alerts @ 2026-08-12T17:40:35

alert sweep, NEW this cycle: 3 multifamily, 1 unit-count moves, 0 ownership changes
OPEN alerts (carried forward): 10987 - new_mf 10986, units_jump 1
  showing the 25 most recent of 10987
  [new_mf] New multifamily on the backbone: 2810 HILLSBOROUGH ST  (16 units · Raleigh)
  [new_mf] New multifamily on the backbone: 3700 LAKE WOODARD DR  (56 units · Raleigh)
  [units_jump] Unit count moved: 5200 HILLSBOROUGH ST  (373 -> 629 units · Raleigh)
  [new_mf] New multifamily on the backbone: 2600 HILLSBOROUGH ST  (174 units · Raleigh)
  [new_mf] New multifamily on the backbone: 8R-37067-279b652c1925  (22 units · Winston-Salem)
  [new_mf] New multifamily on the backbone: 8R-51760-27ea7550d881  (? units · Richmond)
  [new_mf] New multifamily on the backbone: 8R-51760-12c30547aee1  (? units · Richmond)
  [new_mf] New multifamily on the backbone: 8R-51760-4baa46395248  (? units · Richmond)
  [new_mf] New multifamily on the backbone: 8R-51760-4f506a09f200  (? units · Richmond)
  [new_mf] New multifamily on the backbone: 8R-51760-9e8d1f8ead1b  (? units · Richmond)
  [new_mf] New multifamily on the backbone: 8R-51760-0a02f549e0d5  (? units · Richmond)
  [new_mf] New multifamily on the backbone: 8R-51760-04fb4aa2a218  (? units · Richmond)
  [new_mf] New multifamily on the backbone: 8R-51760-e70817c095de  (? units · Richmond)
  [new_mf] New multifamily on the backbone: 8R-51760-524887b2e86c  (? units · Richmond)
  [new_mf] New multifamily on the backbone: 8R-51760-f6dcaaabd202  (? units · Richmond)
  [new_mf] New multifamily on the backbone: 8R-51760-6aff95b0588b  (? units · Richmond)
  [new_mf] New multifamily on the backbone: 8R-51760-4abf6ba8b4c1  (? units · Richmond)
  [new_mf] New multifamily on the backbone: 8R-51760-8b21f278beb4  (? units · Richmond)
  [new_mf] New multifamily on the backbone: 8R-51760-f4cb0ac44701  (? units · Richmond)
  [new_mf] New multifamily on the backbone: 8R-51760-217dc50e7ff1  (? units · Richmond)
  [new_mf] New multifamily on the backbone: 8R-51760-fbc115bb7544  (? units · Richmond)
  [new_mf] New multifamily on the backbone: 8R-51760-59cf6bbd509c  (? units · Richmond)
  [new_mf] New multifamily on the backbone: 8R-51760-53c0c3db2060  (? units · Richmond)
  [new_mf] New multifamily on the backbone: 8R-51760-6a8450affd72  (? units · Richmond)
  [new_mf] New multifamily on the backbone: 8R-51760-8755ffdb0168  (? units · Richmond)
